Factory Name,Factory Type,Product Type,"Nike, Inc. Brand(s)",Events,Supplier Group,Address,City,State,Add,Postal Code,Country/Region,Region,Total Workers,Line Workers,% Female Workers,% Migrant Workers,Lat,Lon,Status
"ECLAT TEXTILE CO., LTD VN",FINISHED GOODS,APPAREL,NIKE,Collegiate,ECLAT,"5A ROAD, NHON TRACH 2 INDUSTRIAL ZONE",DONG NAI,_NG NAI,"5A ROAD, NHON TRACH 2 INDUSTRIAL ZONE, DONG NAI, _NG NAI, Viet Nam",81,Viet Nam,SE ASIA,5500,5106,90.0%,0.0%,41.400573,-86.288223,success
EL BARON,FINISHED GOODS,APPAREL,NIKE,,TEGRA,"ZONA LIBRE EL CARMEN, COLONIA UNIVERSAL SEGUN CALLLE CARRETERA VIEJA A LA LIMA",SAN PEDRO SULA,CORTÉS,"ZONA LIBRE EL CARMEN, COLONIA UNIVERSAL SEGUN CALLLE CARRETERA VIEJA A LA LIMA, SAN PEDRO SULA, CORTÉS, HONDURAS",,HONDURAS,AMERICAS,3328,920,52.0%,1.0%,15.50417,-88.025,doubt
"ELITE INVESTMENT WORLDWIDE CO., LTD",FINISHED GOODS,APPAREL,NIKE,Collegiate,TUNG MUNG,"1657/3E NATIONAL ROAD 1A, AN PHU DONG WARD, DISTRICT 12",HO CHI MINH,HO CHI MINH,"1657/3E NATIONAL ROAD 1A, AN PHU DONG WARD, DISTRICT 12, HO CHI MINH, HO CHI MINH, Viet Nam",700000,Viet Nam,SE ASIA,1801,1641,67.0%,0.0%,10.75,106.66667,doubt
ELTA COMPANY LIMITED,FINISHED GOODS,APPAREL,NIKE,,ELTA,"511 LADKRABANG ROAD, LADKRABANG",BANGKOK,BANGKOK,"511 LADKRABANG ROAD, LADKRABANG, BANGKOK, BANGKOK, THAILAND",10520,THAILAND,SE ASIA,245,196,77.0%,0.0%,13.881591,100.644533,doubt
"E-TOP (VIETNAM) CO.,LTD",FINISHED GOODS,APPAREL,NIKE,Collegiate,ECLAT,"LOT IX-1, IX-2, IX-3, IX-4,",BA RIA-VUNG TAU,BÀ RA - VUNG TÀU,"LOT IX-1, IX-2, IX-3, IX-4,, BA RIA-VUNG TAU, BÀ RA - VUNG TÀU, Viet Nam",795600,Viet Nam,SE ASIA,3732,3439,96.0%,0.0%,10.352804,107.087269,doubt
EVER TECH,FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,,NO GROUP (FW),"PHUOC HAI WARD, THAI HOA TOWN",TAN UYEN DISTRICT,BÌNH DUONG,"PHUOC HAI WARD, THAI HOA TOWN, TAN UYEN DISTRICT, BÌNH DUONG, Viet Nam",84,Viet Nam,SE ASIA,674,593,42.0%,0.0%,11.004453,106.719134,doubt
EVEREST TEXTILE,MATERIALS,MATERIALS,NIKE,,EVEREST,"NO.256, MINGHE VIL., SHANSHANG DIST.",TAINAN CITY,T'AI-WAN,"NO.256, MINGHE VIL., SHANSHANG DIST., TAINAN CITY, T'AI-WAN, Taiwan",74342,Taiwan,N ASIA,,,0.0%,0.0%,59.926029,30.308983,doubt
EVEREST TEXTILE CHINA,MATERIALS,MATERIALS,NIKE,,EVEREST,"NO.197 BAISHA ROAD, XINGHUO DEVELOPMENT ZONE, FENGXIAN",SHANGHAI,SHANGHAI,"NO.197 BAISHA ROAD, XINGHUO DEVELOPMENT ZONE, FENGXIAN, SHANGHAI, SHANGHAI, China Mainland",201419,China Mainland,N ASIA,,,0.0%,0.0%,28.192762,112.982804,doubt
"EVEREST TEXTILE CO., LTD. ",MATERIALS,MATERIALS,NIKE,,EVEREST,"49 7001, TALANAD WATSOIFA ROAD, BANMUANG SUBDISTRICT",RATCHABURI,CENTRAL,"49 7001, TALANAD WATSOIFA ROAD, BANMUANG SUBDISTRICT, RATCHABURI, CENTRAL, THAILAND",70110,THAILAND,SE ASIA,,,0.0%,0.0%,13.482318,99.489561,doubt
EVERGREEN APPAREL MFG.,FINISHED GOODS,APPAREL,NIKE,,YY & ASSOCIATES,845 NE CENTURY BLVD,HILLSBORO,OREGON,"845 NE CENTURY BLVD, HILLSBORO, OREGON, United States of America",97124,United States of America,AMERICAS,26,22,70.0%,0.0%,45.527845,-122.957482,doubt
FA.IS.A. D.O.O.,FINISHED GOODS,EQUIPMENT,NIKE,,NO GROUP (EQ),SVETI VIDAL 32 B,NOVIGRAD,,"SVETI VIDAL 32 B, NOVIGRAD, , CROATIA",52466,CROATIA,EMEA,43,40,90.0%,2.5%,45.317899,13.56694,doubt
FACOPEL PRODUZIONE SRL,FINISHED GOODS,APPAREL,NIKE,,DIOR,"VIA DELLA LAMA, 15/A",CHIESINA UZZANESE,PISTOIA,"VIA DELLA LAMA, 15/A, CHIESINA UZZANESE, PISTOIA, ITALY",51013,ITALY,EMEA,17,16,90.0%,0.0%,43.843011,10.727686,doubt
FAIRWAY ENTERPRISES COMPANY LTD (FENG TAY),FINISHED GOODS,FOOTWEAR,NIKE,,FENG TAY,"SIPCOT INDUSTRIAL COMPLEX, BARGUR, ",KRISHNAGIRI,TAMIL NADU,"SIPCOT INDUSTRIAL COMPLEX, BARGUR, , KRISHNAGIRI, TAMIL NADU, INDIA",635304,INDIA,S ASIA,8541,6426,55.0%,0.1%,10.42439,78.782277,doubt
FAR EASTERN,MATERIALS,MATERIALS,NIKE,,FAR EASTERN,"NO. 1, GUOJIAN 2ND ROAD",TAOYUAN,TAOYUAN,"NO. 1, GUOJIAN 2ND ROAD, TAOYUAN, TAOYUAN, Taiwan",328,Taiwan,N ASIA,,,0.0%,0.0%,24.974148,121.216587,doubt
FAR EASTERN APPARAL SUZHOU LTD. CO,FINISHED GOODS,APPAREL,NIKE,Collegiate,FAR EASTERN,#88 TIANLING ROAD WUZHONG DEVELOPMENT DISTRICT,SUZHOU,JIANGSU,"#88 TIANLING ROAD WUZHONG DEVELOPMENT DISTRICT, SUZHOU, JIANGSU, China Mainland",215128,China Mainland,N ASIA,1471,908,90.0%,0.0%,31.274707,120.635434,doubt
FAR EASTERN APPAREL (VIETNAM) LIMITED,FINISHED GOODS,APPAREL,NIKE,Collegiate,FAR EASTERN,"NO. 46, DAI LO TU DO VIETNAM SINGAPORE INDUSTRIAL PARK",THUAN AN,BÌNH DUONG,"NO. 46, DAI LO TU DO VIETNAM SINGAPORE INDUSTRIAL PARK, THUAN AN, BÌNH DUONG, Viet Nam",75000,Viet Nam,SE ASIA,3385,3213,83.0%,0.7%,54.053573,13.78008,doubt
FAR EASTERN APPAREL LIMITED VIETNAM,FINISHED GOODS,APPAREL,NIKE,Collegiate,FAR EASTERN,"ST. 32, 12A VSIP II-A",BINH DUONG,BÌNH DUONG,"ST. 32, 12A VSIP II-A, BINH DUONG, BÌNH DUONG, Viet Nam",750000,Viet Nam,SE ASIA,1089,817,76.0%,0.0%,-34.208131,150.784611,doubt
FAR EASTERN NEW APPAREL (VIETNAM) LTD (MDC),FINISHED GOODS,APPAREL,NIKE,Collegiate,FAR EASTERN,D1 STREET BAC DONG PHU INDUSTRIAL PARK,BINH PHUOC,BÌNH PHUC,"D1 STREET BAC DONG PHU INDUSTRIAL PARK, BINH PHUOC, BÌNH PHUC, Viet Nam",830000,Viet Nam,SE ASIA,3273,2377,78.0%,0.0%,-16.514866,122.895114,doubt
"FASHION GARMENTS 2 CO., LTD - UNIT 1",FINISHED GOODS,APPAREL,NIKE,,NO GROUP (AP),"ROAD 3, BIEN HOA INDUSTRY ZONE I",BIEN HOA,_NG NAI,"ROAD 3, BIEN HOA INDUSTRY ZONE I, BIEN HOA, _NG NAI, Viet Nam",810000,Viet Nam,SE ASIA,1169,414,87.0%,0.0%,9.026452,38.875846,success
"FASHION GARMENTS 2 CO., LTD - XUAN TAY",FINISHED GOODS,APPAREL,NIKE,,NO GROUP (AP),"XUAN TAY COMMUNE, CAM MY DISTRICT, DONG NAI PRO, VIETNAM",XUAN TAY,_NG NAI,"XUAN TAY COMMUNE, CAM MY DISTRICT, DONG NAI PRO, VIETNAM, XUAN TAY, _NG NAI, Viet Nam",810000,Viet Nam,SE ASIA,1389,656,85.0%,0.0%,10.529777,106.434704,success
"FASHION GARMENTS LTD., UNIT 2",FINISHED GOODS,APPAREL,NIKE,,NO GROUP (AP),"ROAD 13A, BIEN HOA INDUSTRY ZONE II",BIEN HOA,_NG NAI,"ROAD 13A, BIEN HOA INDUSTRY ZONE II, BIEN HOA, _NG NAI, Viet Nam",810000,Viet Nam,SE ASIA,1612,1523,85.0%,0.0%,23.791355,90.404861,success
FE NEW CENTURY INDUSTRY (SINGAPORE) PTE LTD,MATERIALS,MATERIALS,NIKE,,FAR EASTERN,"YINZHONG S.ROAD, HEDONG INDUSTRY PARK",SUZHOU,JIANGSU,"YINZHONG S.ROAD, HEDONG INDUSTRY PARK, SUZHOU, JIANGSU, China Mainland",215128,China Mainland,N ASIA,,,0.0%,0.0%,-17.80248,177.41396,doubt
