Factory Name,Factory Type,Product Type,"Nike, Inc. Brand(s)",Events,Supplier Group,Address,City,State,Add,Postal Code,Country/Region,Region,Total Workers,Line Workers,% Female Workers,% Migrant Workers,Lat,Lon,Status
GILDAN APPAREL USA INC. (VILLANUEVA),FINISHED GOODS,APPAREL,NIKE,,GILDAN,VILLANUEVA,VILLANUEVA,CORTÉS,"VILLANUEVA, VILLANUEVA, CORTÉS, HONDURAS",0,HONDURAS,AMERICAS,5665,4969,54.0%,0.0%,15.31667,-88,success
GILDAN HOSIERY RIO NANCE S DE R.L. RN4,FINISHED GOODS - COMPONENTS,EQUIPMENT,NIKE,,GILDAN,"ZIP SAN MIGUEL VI, RIO NANCE, KM. 15.5 ",CHOLOMA,YORO,"ZIP SAN MIGUEL VI, RIO NANCE, KM. 15.5 , CHOLOMA, YORO, HONDURAS",0,HONDURAS,AMERICAS,1958,1957,21.0%,0.2%,15.194218,-87.344657,doubt
GKOGKAS LAMPROS,FINISHED GOODS,APPAREL,NIKE,,GKOGKAS LAMPROS,PSILORITI 28,ATHENS,EVVOIA,"PSILORITI 28, ATHENS, EVVOIA, GREECE",13341,GREECE,EMEA,12,8,38.0%,37.5%,34.935108,33.635908,success
"GLOBAL SALES AND WAREHOUSING, LLC",FINISHED GOODS,EQUIPMENT,NIKE,,NO GROUP (AP),1500 E. THIRD STREET,OXNARD,CALIFORNIA,"1500 E. THIRD STREET, OXNARD, CALIFORNIA, United States of America",93030,United States of America,AMERICAS,33,27,43.0%,74.1%,34.198933,-119.163196,success
GOLD LONG JOHN CHINA,MATERIALS,MATERIALS,NIKE,,GOLD LONG JOHN,"NO. 95, GAOPING AVE. ",ZHONGSHAN,GUANGDONG,"NO. 95, GAOPING AVE. , ZHONGSHAN, GUANGDONG, China Mainland",528400,China Mainland,N ASIA,,,0.0%,0.0%,44.456169,-69.530636,doubt
"GREEN TG CO., LTD",FINISHED GOODS,APPAREL,NIKE,Collegiate,NO GROUP (AP),"LOT AIII-11, TAN HUONG INDUSTRIAL PARK , TAN HUONG WARD",CHAU THANH DISTRICT,TIN GIANG,"LOT AIII-11, TAN HUONG INDUSTRIAL PARK , TAN HUONG WARD, CHAU THANH DISTRICT, TIN GIANG, Viet Nam",84000,Viet Nam,SE ASIA,927,791,85.0%,1.1%,10.801789,106.647315,doubt
"GREEN VINA CO., LTD.",FINISHED GOODS,APPAREL,NIKE,Collegiate,GREEN TEXTILES,BINH DANG QUARTER - BINH HOA WARD,THUAN AN,BÌNH DUONG,"BINH DANG QUARTER - BINH HOA WARD, THUAN AN, BÌNH DUONG, Viet Nam",590000,Viet Nam,SE ASIA,1761,1594,82.0%,0.0%,10.656957,107.774391,doubt
"GREENTECH HEADGEAR CO., LTD",FINISHED GOODS,APPAREL,NIKE,Collegiate,ASIAN SOURCING HEADWEAR,"ROAD NO.3, NHON TRACH 2 IZ- NHON PHU",NHON TRACH,_NG NAI,"ROAD NO.3, NHON TRACH 2 IZ- NHON PHU, NHON TRACH, _NG NAI, Viet Nam",810000,Viet Nam,SE ASIA,1680,1400,80.0%,0.0%,10.808361,106.754063,success
"GUANG YANG SPORTING CO., LTD",FINISHED GOODS,EQUIPMENT,NIKE,,SHOETOWN,"SHAN TANG INDUSTRIAL ZONE, DI DI VILLAGE, ",QING YUAN,GUANGDONG,"SHAN TANG INDUSTRIAL ZONE, DI DI VILLAGE, , QING YUAN, GUANGDONG, China Mainland",511800,China Mainland,N ASIA,608,430,91.0%,0.0%,10.883528,106.742569,doubt
"GUANG YANG WORLDWIDE CORPORATION CO., LTD",FINISHED GOODS,EQUIPMENT,NIKE,,GUANG YANG,"PROVINCIAL ROAD 835A, HAMLET LOC TIEN, MY LOC WARD",LONG AN PROVINCE,LONG AN,"PROVINCIAL ROAD 835A, HAMLET LOC TIEN, MY LOC WARD, LONG AN PROVINCE, LONG AN, Viet Nam",850000,Viet Nam,SE ASIA,681,628,88.0%,0.0%,10.42422,106.42759,doubt
GUARDLAB INC,FINISHED GOODS,EQUIPMENT,NIKE,,NO GROUP (EQ),171 MILBAR BLVD,FARMINGDALE,NEW YORK,"171 MILBAR BLVD, FARMINGDALE, NEW YORK, United States of America",11735,United States of America,AMERICAS,8,5,38.0%,0.0%,40.733308,-73.446246,doubt
H&H SCREENING & GRAPHICS INC.,FINISHED GOODS,APPAREL,NIKE,,NO GROUP (AP),2388 LA MIRANDA DR.,VISTA,CALIFORNIA,"2388 LA MIRANDA DR., VISTA, CALIFORNIA, United States of America",92081,United States of America,AMERICAS,34,11,59.0%,0.0%,33.203629,-117.239309,doubt
"H&L APPAREL(VIETNAM) CO.,LTD",FINISHED GOODS,APPAREL,NIKE,,NO GROUP (AP),"LOT D-11-CN, MY PHUOC 2 IP, MY PHUOC WARD",BEN CAT DISTRICT,BÌNH DUONG,"LOT D-11-CN, MY PHUOC 2 IP, MY PHUOC WARD, BEN CAT DISTRICT, BÌNH DUONG, Viet Nam",590000,Viet Nam,SE ASIA,850,700,90.0%,0.0%,10.359955,106.364576,doubt
HA NOI GARMENT NO. 40 JOINT STOCK COMPANY,FINISHED GOODS,APPAREL,NIKE,,MAXPORT,"88 HA DINH, THANH XUAN DIST.",HA NOI CITY,HA NOI,"88 HA DINH, THANH XUAN DIST., HA NOI CITY, HA NOI, Viet Nam",80000,Viet Nam,SE ASIA,412,281,84.0%,0.0%,15.45,108.7,doubt
"HAIYAN GOLDEN GATE SOCKS INDUSTRY CO., LTD",FINISHED GOODS,EQUIPMENT,Converse,,NO GROUP (EQ),"NO, 15 ZHANGQIAO VILLAGE, TONGYUAN",HAIYAN,ZHEJIANG,"NO, 15 ZHANGQIAO VILLAGE, TONGYUAN, HAIYAN, ZHEJIANG, China Mainland",314300,China Mainland,N ASIA,91,72,78.0%,0.0%,27.755569,85.451076,doubt
HAPCO SCREEN PRINTING,FINISHED GOODS,APPAREL,Converse,,NO GROUP (AP),548-558 ELM STREET,"EMMAUS,",PENNSYLVANIA,"548-558 ELM STREET, EMMAUS,, PENNSYLVANIA, United States of America",18049,United States of America,AMERICAS,27,24,50.0%,0.0%,40.540272,-75.492432,doubt
HAYAFUJI,FINISHED GOODS,FOOTWEAR,NIKE,,HAYAFUJI,"96-9, HARADANIINUI-CHO, OOKITAYAMA",KYOTO-SHI,KYOTO,"96-9, HARADANIINUI-CHO, OOKITAYAMA, KYOTO-SHI, KYOTO, JAPAN",603-8487,JAPAN,N ASIA,5,4,40.0%,0.0%,34.986533,135.744161,doubt
"HB SPORTS - NEW HOLLAND LINGERIE DE HONDURAS, S.A.",FINISHED GOODS - COMPONENTS,APPAREL,NIKE,,TEGRA,"27 CALLE 1 Y 3 AVENIDA, BARRIO LA PAZ",SAN PEDRO SULA,CORTÉS,"27 CALLE 1 Y 3 AVENIDA, BARRIO LA PAZ, SAN PEDRO SULA, CORTÉS, HONDURAS",CA,HONDURAS,AMERICAS,1594,1064,60.0%,0.6%,15.50417,-88.025,doubt
HESHAN TOP EAGLE GARMENT LTD,FINISHED GOODS,APPAREL,NIKE,,NICE APPAREL,DISTRICT 3 OF HECHENG INDUSTRIAL PARK,HESHAN,GUANGDONG,"DISTRICT 3 OF HECHENG INDUSTRIAL PARK, HESHAN, GUANGDONG, China Mainland",529727,China Mainland,N ASIA,780,395,80.0%,24.6%,22.458244,112.783453,success
"HI TECH APPAREL CAMBODIA CO., LTD",FINISHED GOODS,APPAREL,NIKE,,HI TECH,"A35-36 POIPET5 O NEANG SPECIAL ECOZONE, SANGKAT PHSAR KANDAL",POIPET CITY,BANTEAY MEAN CHEY,"A35-36 POIPET5 O NEANG SPECIAL ECOZONE, SANGKAT PHSAR KANDAL, POIPET CITY, BANTEAY MEAN CHEY, CAMBODIA",0,CAMBODIA,SE ASIA,4224,3894,57.0%,0.9%,11.526603,104.916344,doubt
"HI TECH APPAREL CO LTD, BRANCH 70",FINISHED GOODS,APPAREL,NIKE,Collegiate,HI TECH,5/18 SOI SUKSAWAT 70 SOI 5 MOO 12 TUMBON BANGKRU AMPHER PRAPRADANG,BANGKRU,,"5/18 SOI SUKSAWAT 70 SOI 5 MOO 12 TUMBON BANGKRU AMPHER PRAPRADANG, BANGKRU, , THAILAND",10130,THAILAND,SE ASIA,1271,1126,61.0%,78.8%,17.566374,102.450754,success
HI TECH APPAREL SURIN BRANCH,FINISHED GOODS,APPAREL,NIKE,Collegiate,HI TECH,"489 MOO 7, PATTAMANON 214 ROAD",THATOOM,,"489 MOO 7, PATTAMANON 214 ROAD, THATOOM, , THAILAND",32120,THAILAND,SE ASIA,799,576,72.0%,26.4%,15.319373,103.67402,doubt
HIGUCHI KABAN KOBO,FINISHED GOODS,EQUIPMENT,NIKE,,CROSTER,2-4-18 MOTOGO,SAITAMA,SAITAMA,"2-4-18 MOTOGO, SAITAMA, SAITAMA, JAPAN",332-0011,JAPAN,N ASIA,20,8,50.0%,12.5%,54.08784,21.922488,doubt
HIT SUPHANBURI,FINISHED GOODS,APPAREL,NIKE,,HI TECH,295 MOO 1 DONKUMYAN,SUPHANBURI,SUPHAN BURI,"295 MOO 1 DONKUMYAN, SUPHANBURI, SUPHAN BURI, THAILAND",72000,THAILAND,SE ASIA,525,350,65.0%,0.0%,14.716232,100.031004,doubt
HI-TECH APPAREL CO. LTD.SOI91,FINISHED GOODS,APPAREL,NIKE,Collegiate,HI TECH,"328 PRACHAUTTI ROAD, BANGMOD THUNGKOC",BANGKOK,CHON BURI,"328 PRACHAUTTI ROAD, BANGMOD THUNGKOC, BANGKOK, CHON BURI, THAILAND",10140,THAILAND,SE ASIA,1165,674,76.0%,30.3%,13.300203,101.204231,doubt
"HI-TECH CHAIYAPHUM APPAREL 2011 CO.,LTD.",FINISHED GOODS,APPAREL,NIKE,Collegiate,HI TECH,"999 MOO 3 TUMBOL LADYAI, AMPHUR MUANG,",MUANG,CHAIYAPHUM,"999 MOO 3 TUMBOL LADYAI, AMPHUR MUANG,, MUANG, CHAIYAPHUM, THAILAND",36000,THAILAND,SE ASIA,1279,901,68.0%,19.4%,15.474857,101.552124,doubt
"HI-TECH CHAIYAPHUM APPAREL CO.,LTD.",FINISHED GOODS,APPAREL,NIKE,Collegiate,HI TECH,"900 MOO 11, TAMBOL NASEIW",MUANG,CHAIYAPHUM,"900 MOO 11, TAMBOL NASEIW, MUANG, CHAIYAPHUM, THAILAND",36000,THAILAND,SE ASIA,617,556,70.0%,37.9%,15.474857,101.552124,doubt
"HI-TECH VIET NAM APPAREL CO.,LTD.",FINISHED GOODS,APPAREL,NIKE,,HI TECH,"BLOCK A3.2, TAY AN INDUSTRIAL ZONE, DUY TRUNG COMMUNE",DUY XUYEN DISTRICT,QUNG NAM,"BLOCK A3.2, TAY AN INDUSTRIAL ZONE, DUY TRUNG COMMUNE, DUY XUYEN DISTRICT, QUNG NAM, Viet Nam",560000,Viet Nam,SE ASIA,1458,1306,84.0%,0.0%,24.923442,67.088031,doubt
"HONG SENG KNITTING CO., LTD BRANCH THUNGKHU",FINISHED GOODS,APPAREL,NIKE,,HONG SENG,"519/16, 519/48-50, PRACHAUTHID, RD, TUNGKRU",BANGKOK,,"519/16, 519/48-50, PRACHAUTHID, RD, TUNGKRU, BANGKOK, , THAILAND",10140,THAILAND,SE ASIA,469,430,67.0%,90.5%,13.881591,100.644533,doubt
HONG SENG KNITTING COMPANY LIMITED.,FINISHED GOODS,APPAREL,NIKE,Collegiate,HONG SENG,"287,289 SUKSAWAD 30, SUKSAWAD ROAD, BANGPAKOK",RATHJABURANA,CHON BURI,"287,289 SUKSAWAD 30, SUKSAWAD ROAD, BANGPAKOK, RATHJABURANA, CHON BURI, THAILAND",10140,THAILAND,SE ASIA,6987,3360,65.0%,68.2%,13.684498,102.508646,doubt
HONG SENG THAI-VINA COMPANY LIMITED,FINISHED GOODS,APPAREL,NIKE,,HONG SENG,"LOT 19 ROAD 1ST , TAN DUC IZ, DUC HAO HA",DUC HOA DISTRICT,LONG AN,"LOT 19 ROAD 1ST , TAN DUC IZ, DUC HAO HA, DUC HOA DISTRICT, LONG AN, Viet Nam",850000,Viet Nam,SE ASIA,807,556,80.0%,1.8%,10.735319,106.32527,doubt
"HONG SHENG LEATHER DONGGUAN IND. CO., LTD",FINISHED GOODS,EQUIPMENT,NIKE,,GUANG DER,WEN TANG INDUSTRY SECTION,DONG GUAN,GUANGDONG,"WEN TANG INDUSTRY SECTION, DONG GUAN, GUANGDONG, China Mainland",523121,China Mainland,N ASIA,476,331,69.0%,0.0%,30.653017,103.837767,success
HONSIN APPAREL SDN. BHD.,FINISHED GOODS,APPAREL,NIKE,,HONSIN,531 BATU 2 1/2,BATU PAHAT,JOHOR,"531 BATU 2 1/2, BATU PAHAT, JOHOR, MALAYSIA",83000,MALAYSIA,S ASIA,1345,1175,25.0%,94.4%,1.846733,102.904506,doubt
HONWAYS APPAREL SHUYANG LIMITED,FINISHED GOODS,APPAREL,NIKE,,HONSIN,"NO. 6, JIAXING ROAD EAST, SHUYANG ECONOMIC DEV ZONE",JIANGSU PROVINCE,JIANGSU,"NO. 6, JIAXING ROAD EAST, SHUYANG ECONOMIC DEV ZONE, JIANGSU PROVINCE, JIANGSU, China Mainland",223600,China Mainland,N ASIA,1243,765,86.0%,0.0%,50.717406,-3.521607,doubt
"HOOSIER MANUFACTURING, COMPANIA LIMITADA",FINISHED GOODS,APPAREL,NIKE,,INDIANA KNITWEAR,18 AVENIDA 37-39,GUATEMALA,GUATEMALA,"18 AVENIDA 37-39, GUATEMALA, GUATEMALA, GUATEMALA",1012,GUATEMALA,AMERICAS,392,375,56.0%,0.0%,14.589336,-90.471778,doubt
HUA FENG TEXTILE GROUP,FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,,NO GROUP (FW),HUANGSHI INDUSTRIAL ZONE,PUTIAN,FUJIAN,"HUANGSHI INDUSTRIAL ZONE, PUTIAN, FUJIAN, China Mainland",351144,China Mainland,N ASIA,95,78,59.0%,0.0%,29.927883,115.018072,doubt
HUAIAN YUANGTONG HEADWEAR MFG CO LTD,FINISHED GOODS,APPAREL,NIKE,Collegiate,ASIAN SOURCING HEADWEAR,NO.30 YAN HUANG AVENUE,HUAI AN,JIANGSU,"NO.30 YAN HUANG AVENUE, HUAI AN, JIANGSU, China Mainland",223400,China Mainland,N ASIA,785,650,80.0%,0.0%,34.951326,113.510976,doubt
HUBEI TOP EAGLE GARMENT LTD.,FINISHED GOODS,APPAREL,NIKE,,NICE APPAREL,NO. 9 YONGXING ROAD   ,SONGZI HUBEI,HUBEI,"NO. 9 YONGXING ROAD   , SONGZI HUBEI, HUBEI, China Mainland",434200,China Mainland,N ASIA,731,405,94.0%,0.5%,24.611196,120.814766,doubt
"HUIZHOU YANGMING INDUSTRIAL CO., LTD.",FINISHED GOODS,EQUIPMENT,Converse,,NO SUPPLIER GROUP,"DA ZHONG TANG#1,XIA JIAO",HUIZHOU,GUANGDONG,"DA ZHONG TANG#1,XIA JIAO, HUIZHOU, GUANGDONG, China Mainland",516001,China Mainland,N ASIA,78,48,1.0%,2.1%,43.852117,125.243789,success
HUNG LONG GARMENT AND SERVICE JOINT STOCK COMPANY,FINISHED GOODS,APPAREL,NIKE,,NO GROUP (AP),"NGUYEN VAN LINH STREET, DI SU WARD, MY HAO TOWN",HUNG YEN,HUNG YÊN,"NGUYEN VAN LINH STREET, DI SU WARD, MY HAO TOWN, HUNG YEN, HUNG YÊN, Viet Nam",70000,Viet Nam,SE ASIA,2570,2370,70.0%,0.0%,20.819495,106.039889,doubt
IDEA STAMPA S.R.L. UNIPERSONALE,FINISHED GOODS,APPAREL,NIKE,,NO GROUP (AP),30020 MEOLO VE,MEOLO,VENEZIA,"30020 MEOLO VE, MEOLO, VENEZIA, ITALY",30020,ITALY,EMEA,29,19,73.0%,0.0%,45.79303,12.682592,doubt
IMPRESSIONS CASEE INC.,FINISHED GOODS,APPAREL,NIKE,,NO GROUP (AP),"9500 RUE MEILLEUR, SUTE 130",MONTREAL,QUEBEC,"9500 RUE MEILLEUR, SUTE 130, MONTREAL, QUEBEC, CANADA",H2N 2B7,CANADA,AMERICAS,5,3,25.0%,0.0%,45.572744,-73.586295,doubt
INJEXTECH INC.,FINISHED GOODS,EQUIPMENT,NIKE,,NO GROUP (EQ),"407 BEN TIAN RD., SEC. 2, ANNAN DIST.,",TAINAN,,"407 BEN TIAN RD., SEC. 2, ANNAN DIST.,, TAINAN, , Taiwan",71755,Taiwan,N ASIA,396,190,43.0%,21.1%,23.109964,120.301152,doubt
INOVA TEXTILES S.A. DE C.V.,FINISHED GOODS,APPAREL,Converse,,NO GROUP (AP),"EJE 3 Y 4 LOTE, 10 Y 11 PARQUE INDUSTRIAL DE JILOTEPEC",JILOTEPEC,MÉXICO,"EJE 3 Y 4 LOTE, 10 Y 11 PARQUE INDUSTRIAL DE JILOTEPEC, JILOTEPEC, MÉXICO, MEXICO",54240,MEXICO,AMERICAS,366,351,65.0%,0.0%,19.956762,-99.536141,doubt
INTERLOOP LIMITED,FINISHED GOODS,EQUIPMENT,NIKE,,INTERLOOP,"7 KM KHURRIANWALA JARANWALA ROAD, KHURRIANWALA",FAISALABAD,PUNJAB,"7 KM KHURRIANWALA JARANWALA ROAD, KHURRIANWALA, FAISALABAD, PUNJAB, Pakistan",37660,Pakistan,S ASIA,8035,6378,5.0%,0.0%,31.41667,73.08333,doubt
IRUNA COMUNICACION TEXTIL - SERISUR,FINISHED GOODS,APPAREL,NIKE,,IRUNA,POLIGONO INDUSTRIAL LA ROSA V,CHAUCHINA-GRANADA,ANDALUCÍA,"POLIGONO INDUSTRIAL LA ROSA V, CHAUCHINA-GRANADA, ANDALUCÍA, SPAIN",18330,SPAIN,EMEA,14,10,57.0%,0.0%,37.465276,-5.345934,doubt
ISA SPA,FINISHED GOODS,APPAREL,NIKE,,DIOR,STATALE DEI GIOVI 251,LENTATE SUL SEVESO,MONZA E BRIANZA,"STATALE DEI GIOVI 251, LENTATE SUL SEVESO, MONZA E BRIANZA, ITALY",20823,ITALY,EMEA,334,93,25.0%,5.4%,45.679802,9.117171,doubt
ITW SPORTS BRANDING ENPING,FINISHED GOODS - COMPONENTS,APPAREL,NIKE,,ITW GRAPHICS ASIA,PUQIAO ECONOMIC INDUSTRY DEVELOP DISTRICT,ENPING,GUANGDONG,"PUQIAO ECONOMIC INDUSTRY DEVELOP DISTRICT, ENPING, GUANGDONG, China Mainland",,China Mainland,N ASIA,164,135,64.0%,0.0%,6.491306,3.38589,success
JADE APPAREL INDUSTRIES,FINISHED GOODS,APPAREL,NIKE,,YESIM,3RD INDUSTRIAL ZONE - AREA 06 BLOCK 10,ALEXANDRIA / BORG EL ARAB,AI ISKANDARIYAH,"3RD INDUSTRIAL ZONE - AREA 06 BLOCK 10, ALEXANDRIA / BORG EL ARAB, AI ISKANDARIYAH, EGYPT",21933,EGYPT,EMEA,1335,489,21.0%,6.7%,29.989528,30.857955,doubt
JADE APPAREL INDUSTRIES SAE,FINISHED GOODS,APPAREL,NIKE,,YESIM,THIRD INDUSTRIAL ZONE,ALEXANDRIA,BENDER,"THIRD INDUSTRIAL ZONE, ALEXANDRIA, BENDER, Moldova (Republic of)",21934,Moldova (Republic of),EMEA,1191,496,35.0%,6.3%,18.453649,-69.284003,success
JADE LONG JOHN,MATERIALS,MATERIALS,NIKE,,GOLD LONG JOHN,"NO.350, FUXING RD.",CHANGHUA,SHE-TOU SHANG,"NO.350, FUXING RD., CHANGHUA, SHE-TOU SHANG, Taiwan",510,Taiwan,N ASIA,,,0.0%,0.0%,23.955046,120.485273,doubt
JADE TEXTILE EGYPT,FINISHED GOODS,APPAREL,NIKE,,YESIM,"A-6 ZONE, 103-104",10TH OF RAMADAN CITY,ASH SHARQIYAH,"A-6 ZONE, 103-104, 10TH OF RAMADAN CITY, ASH SHARQIYAH, EGYPT",,EGYPT,EMEA,2939,1655,21.0%,21.4%,30.835407,31.918276,doubt
JADE TEXTILE ISMAILIA S.A.E,FINISHED GOODS,APPAREL,NIKE,,YESIM,200 ACRES EL-MOSTAKBEL ARE-ISMAILIA PUBLIC FREE ZONE,ISMAILIA,AI ISMA ILIYAH,"200 ACRES EL-MOSTAKBEL ARE-ISMAILIA PUBLIC FREE ZONE, ISMAILIA, AI ISMA ILIYAH, EGYPT",41611,EGYPT,EMEA,1133,624,24.0%,2.6%,40.677967,-75.530102,doubt
JASAN SOCKS,FINISHED GOODS,APPAREL,NIKE,,NO GROUP (AP),"NO 2, ROAD 17",VIETNAM,HAI PHONG,"NO 2, ROAD 17, VIETNAM, HAI PHONG, Viet Nam",0,Viet Nam,SE ASIA,3065,2799,85.0%,0.0%,20.85611,106.68222,doubt
"JIANGSU ASIAN SOURCING HEADWEAR MFG. CO., LTD",FINISHED GOODS,APPAREL,NIKE,Collegiate,ASIAN SOURCING HEADWEAR,"NO. 2, SOUTH GUANGZHOU ROAD",HUAI AN,JIANGSU,"NO. 2, SOUTH GUANGZHOU ROAD, HUAI AN, JIANGSU, China Mainland",223005,China Mainland,N ASIA,1203,1002,92.0%,0.0%,43.518371,13.234855,doubt
"JIANGSU HONGBAO SPORTING GOODS CO., LTD.",FINISHED GOODS,EQUIPMENT,NIKE,,YEGIN,NO. 3 BUILDING SHANGSHUI INDUST,HUAIAN,JIANGSU,"NO. 3 BUILDING SHANGSHUI INDUST, HUAIAN, JIANGSU, China Mainland",223400,China Mainland,N ASIA,382,267,80.0%,0.0%,49.901092,-97.139355,success
"JIANGSU JINHUBAO GARMENT CO., LTD",FINISHED GOODS,APPAREL,Converse,,DÉCOR,"LIDIAN TOWN, GUANGLING DISTRICT",YANGZHOU,JIANGSU,"LIDIAN TOWN, GUANGLING DISTRICT, YANGZHOU, JIANGSU, China Mainland",225106,China Mainland,N ASIA,196,187,79.0%,0.0%,-24.094328,-51.640396,doubt
"JIANGXI GUANGYOU SHOETOWN FOOTWEAR CO., LTD.",FINISHED GOODS,FOOTWEAR,NIKE,,SHOETOWN,"XIANGTANG VILLAGE, XIANGTANG TOWN",NANCHANG,JIANGXI,"XIANGTANG VILLAGE, XIANGTANG TOWN, NANCHANG, JIANGXI, China Mainland",330201,China Mainland,N ASIA,2711,1815,82.0%,0.0%,32.073813,118.58398,success
"JIANSHAN BENHUI PRINTING CO., LTD",FINISHED GOODS,APPAREL,NIKE,,JIASHAN BENHUI,"239 YUNSI ROAD, DAYUN TOWN, JIASHAN ZHEJIANG",JIAXING,ZHEJIANG,"239 YUNSI ROAD, DAYUN TOWN, JIASHAN ZHEJIANG, JIAXING, ZHEJIANG, China Mainland",314113,China Mainland,N ASIA,21,14,42.0%,0.0%,10.227541,-61.351206,doubt
"JIAXING KANAAN BAG R&D CO.,LTD",FINISHED GOODS,EQUIPMENT,NIKE,,KANAAN,"QIXING INDUSTRIAL ZONE, XIUCHENG",JIAXIANG,ZHEJIANG,"QIXING INDUSTRIAL ZONE, XIUCHENG, JIAXIANG, ZHEJIANG, China Mainland",314002,China Mainland,N ASIA,134,61,81.0%,0.0%,24.488186,118.0943,doubt
"JIAXING QUANG VIET GARMENT CO., LTD.",FINISHED GOODS,APPAREL,NIKE,,QUANG VIET,PINGXINGXIAN TONGXINDUAN 318 XINDAI TOWN,PING HU,ZHEJIANG,"PINGXINGXIAN TONGXINDUAN 318 XINDAI TOWN, PING HU, ZHEJIANG, China Mainland",314211,China Mainland,N ASIA,1969,1692,51.0%,0.0%,49.901765,-97.138086,doubt
"JINING YONGJIN SHOES CO., LTD.",FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,,TAEKWANG,"NO.456 OF E MEI SHAN ROAD,ZHONGDU STREET,WENSHANG TOWN.",JI NING CITY,SHANDONG,"NO.456 OF E MEI SHAN ROAD,ZHONGDU STREET,WENSHANG TOWN., JI NING CITY, SHANDONG, China Mainland",272500,China Mainland,N ASIA,1545,1530,98.0%,0.0%,32.035481,118.826399,doubt
JK GARMENTS PVT LTD,FINISHED GOODS,APPAREL,NIKE,,HONSIN,"MADAGALLA ROAD, IBBAGAMUWA",KURUNEGALA,KURUNEGALA,"MADAGALLA ROAD, IBBAGAMUWA, KURUNEGALA, KURUNEGALA, SRI LANKA",60500,SRI LANKA,S ASIA,1070,775,90.0%,0.0%,7.4863,80.3623,doubt
JSI,FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,,TAEKWANG,"1746-1, SONGJUNG-DONG,",BUSAN,BUSAN,"1746-1, SONGJUNG-DONG,, BUSAN, BUSAN, Korea (Republic of)",0,Korea (Republic of),N ASIA,640,374,22.0%,0.0%,35.11741,129.002102,doubt
JSI VINA CORPORATION,MATERIALS,MATERIALS,NIKE,,TAEKWANG,"LÔ S_ 45,18,2 ___NG N14, KHU CN",GÒ D_U,TAY NINH,"LÔ S_ 45,18,2 ___NG N14, KHU CN, GÒ D_U, TAY NINH, Viet Nam",0,Viet Nam,SE ASIA,,,0.0%,0.0%,-16.650338,-49.258351,doubt
"KIM'S EMBROIDERY, INC.",FINISHED GOODS,APPAREL,NIKE,,KIMS EMBROIDERY,8770 SW BURNHAM STREET PO,PORTLAND,OREGON,"8770 SW BURNHAM STREET PO, PORTLAND, OREGON, United States of America",97223,United States of America,AMERICAS,7,5,80.0%,0.0%,45.533467,-122.650095,doubt
"KING RAY YENG INDUSTRIAL CO., LTD",FINISHED GOODS,EQUIPMENT,NIKE,,NO GROUP (EQ),"NO.27, ALLEY 27, LANE 194, CHANGSHUI ROAD",CHANGHWA,CHANGHUA,"NO.27, ALLEY 27, LANE 194, CHANGSHUI ROAD, CHANGHWA, CHANGHUA, Taiwan",50071,Taiwan,N ASIA,196,157,53.0%,36.3%,23.955046,120.485273,doubt
"KITAI CO., LTD",FINISHED GOODS,APPAREL,NIKE,,KITAI,32 TAKA,KASHIBA,NARA,"32 TAKA, KASHIBA, NARA, JAPAN",639-0241,JAPAN,N ASIA,53,48,55.0%,0.0%,34.556281,135.687053,doubt
"KKN APPAREL CO., LTD",FINISHED GOODS,APPAREL,NIKE,,NICE APPAREL,NEANG KOK VILLAGE. PAKKLONG. COMMUNE. MOND/AL SEYMA,NEANG KOK VILLAGE,KAOH KONG,"NEANG KOK VILLAGE. PAKKLONG. COMMUNE. MOND/AL SEYMA, NEANG KOK VILLAGE, KAOH KONG, CAMBODIA",0,CAMBODIA,SE ASIA,7284,6791,54.0%,1.5%,11.823549,103.03124,success
"K-L MFG. CO., INC.",FINISHED GOODS,APPAREL,NIKE,,K & L MANUFACTURING,2438 NORTH RUBY STREET,SPOKANE,WASHINGTON,"2438 NORTH RUBY STREET, SPOKANE, WASHINGTON, United States of America",99207,United States of America,AMERICAS,124,118,62.0%,0.0%,47.680386,-117.409102,success
"KUNSHAN SABRINA CLOTHES MAKING CO., LTD.",FINISHED GOODS,APPAREL,NIKE,Collegiate,SABRINA,NO.31 KONGXIANG EAST ROAD LUJIA TOWN,KUNSHAN,JIANGSU,"NO.31 KONGXIANG EAST ROAD LUJIA TOWN, KUNSHAN, JIANGSU, China Mainland",215331,China Mainland,N ASIA,972,848,72.0%,0.0%,31.238567,121.503851,success
KUO YUEN (CHINA),MATERIALS,MATERIALS,NIKE,,KUO YUEN,"YUE YUEN INDUSTRIAL AREA, HELU MANAGEMENT AREA, HUANG JIANG, DONGGUAN, GUANGDONG",DONGGUAN,GUANGDONG,"YUE YUEN INDUSTRIAL AREA, HELU MANAGEMENT AREA, HUANG JIANG, DONGGUAN, GUANGDONG, DONGGUAN, GUANGDONG, China Mainland",523000,China Mainland,N ASIA,,,0.0%,0.0%,22.503039,114.123214,doubt
