GISJOIN,YEAR,STUSAB,STATE,STATEA,GEOID,NAME_E,AMBUE001,AMBUE002,AMBVE001,AMBVE002,AMBWE001,AMBWE002,AMBXE001,AMBXE002,AMBYE001,AMBYE002,AMBZE001,AMBZE002,AMB0E001,AMB0E002,AMB1E001,AMB1E002,NAME_M,AMBUM001,AMBUM002,AMBVM001,AMBVM002,AMBWM001,AMBWM002,AMBXM001,AMBXM002,AMBYM001,AMBYM002,AMBZM001,AMBZM002,AMB0M001,AMB0M002,AMB1M001,AMB1M002
G400,2015-2019,OK,Oklahoma,40,04000US40,Oklahoma,269090,73918,290920,60152,82671,12708,5969,1513,103800,26755,295369,60205,2514217,306725,405533,96092,Oklahoma,2474,2686,2612,1677,1305,969,396,442,3548,2004,3957,2355,1607,4648,617,3012
G410,2015-2019,OR,Oregon,41,04000US41,Oregon,75043,19729,45975,10281,177412,24126,16200,3405,123925,21331,191746,34246,3072759,346959,526253,105720,Oregon,1631,1744,1820,1029,1851,1726,830,610,4788,2203,3733,2232,1464,7630,705,4515
G420,2015-2019,PA,Pennsylvania,42,04000US42,Pennsylvania,1349724,350457,23331,5730,420910,58438,4013,983,266282,83498,304942,67210,9505299,843281,901112,253077,Pennsylvania,5188,7873,1463,936,2624,2680,566,318,6735,4052,6724,3057,2737,11006,1536,6249
G440,2015-2019,RI,Rhode Island,44,04000US44,Rhode Island,68128,15015,5057,1243,33579,5292,787,110,56252,14597,33298,7451,732352,61266,158626,40095,Rhode Island,1667,1715,798,385,895,837,275,123,2726,1723,2250,1282,1047,2683,394,2538
G450,2015-2019,SC,South Carolina,45,04000US45,South Carolina,1294899,317757,17259,3873,76427,10237,3645,839,86379,26166,109806,24469,3120556,319137,275281,72123,South Carolina,3292,6875,1309,647,1148,1130,786,554,4386,2495,3583,2023,1816,7172,817,3724
G460,2015-2019,SD,South Dakota,46,04000US46,South Dakota,16344,3736,71990,35329,12262,2320,463,93,6952,1217,21766,5152,692136,59409,31391,6374,South Dakota,823,873,1058,1647,499,447,174,69,823,405,1350,1022,555,1959,266,905
G470,2015-2019,TN,Tennessee,47,04000US47,Tennessee,1081832,266778,17562,3660,114994,11788,3545,980,90875,26441,143284,32782,4842291,592539,356652,93353,Tennessee,3933,6304,1041,569,1507,1420,489,335,4215,2216,3698,2113,2310,9378,798,3688
G480,2015-2019,TX,Texas,48,04000US48,Texas,3287349,635355,137561,23548,1340749,136228,24469,4602,1615385,339544,740504,107198,11602306,980016,10919515,2262560,Texas,7812,10945,4671,1876,4705,4875,1131,843,19090,8321,14283,4502,4147,12480,2927,23396
G490,2015-2019,UT,Utah,49,04000US49,Utah,35506,9665,32833,8890,70505,9348,27133,2903,153216,28805,91963,11149,2390882,189107,427168,71929,Utah,1295,1423,1506,1282,1327,1251,1166,728,5148,2440,3144,1272,1263,5164,703,3451
G500,2015-2019,VT,Vermont,50,04000US50,Vermont,7557,1961,2071,367,9503,1410,317,19,2130,226,11890,2083,558496,58219,10688,1789,Vermont,405,391,279,116,591,436,149,21,401,137,722,333,431,2601,175,304
G510,2015-2019,VA,Virginia,51,04000US51,Virginia,1548219,272438,22691,2942,531604,38844,5659,432,218303,35985,309514,39256,5089658,415028,768481,107325,Virginia,4579,6624,1500,877,3108,2175,565,142,6703,2893,5773,2580,2641,8899,1282,4249
G530,2015-2019,WA,Washington,53,04000US53,Washington,271285,55397,90822,20275,621384,58017,47985,7346,327037,66048,421233,54723,4989465,436470,919516,169168,Washington,3483,2855,2592,1481,3416,2678,1386,1220,7440,3720,6529,2896,2006,7615,1028,5386
G540,2015-2019,WV,West Virginia,54,04000US54,West Virginia,59182,17294,3450,560,14172,2383,403,3,7349,2298,30555,7781,1631791,275662,26094,5616,West Virginia,1376,1360,568,157,692,471,179,6,1085,729,1348,805,1212,5616,647,824
G550,2015-2019,WI,Wisconsin,55,04000US55,Wisconsin,351519,110070,48924,12758,157994,24494,2294,602,116174,27421,132653,27081,4598080,391517,384187,81792,Wisconsin,2250,3263,1072,910,1574,1805,479,230,3401,1951,3240,1417,1569,5455,506,2890
G560,2015-2019,WY,Wyoming,56,04000US56,Wyoming,5123,786,13472,3210,4842,630,571,49,8518,1138,15108,2125,477587,46049,55662,10692,Wyoming,619,253,798,720,447,175,303,38,1132,337,1061,379,473,2332,242,1139
G720,2015-2019,PR,Puerto Rico,72,04000US72,Puerto Rico,383692,176342,6822,3024,6139,2852,269,226,549641,284826,173723,75280,31408,11371,3247614,1433527,Puerto Rico,7053,5567,1033,646,943,644,231,241,7617,6047,4925,3012,1913,1155,2234,10420
